id,age,sex,region,married,car,save_act,current_act,mortgage,realincome,pred,pred_prob
ID12703,45,0,1,0,1,1,1,0,21881.6,1,1.0
ID12827,27,1,0,1,0,0,1,0,10294.0,1,1.0
ID12797,65,0,2,0,1,1,1,0,47289.2,1,1.0
ID12802,52,0,3,0,0,0,0,0,16521.75,1,1.0
ID12804,60,1,0,0,0,1,1,0,19849.0,1,1.0
ID12808,58,0,2,0,1,1,1,0,40491.4,1,1.0
ID12810,20,0,0,0,0,0,1,1,18824.1,1,1.0
ID12811,67,1,0,0,1,1,0,0,39137.0,1,1.0
ID12814,57,1,0,0,0,0,1,0,18774.0,1,1.0
ID12817,47,1,0,0,0,0,1,0,36766.0,1,1.0
ID12818,54,0,3,0,1,1,0,0,44982.1,1,1.0
ID12820,42,0,3,0,0,0,1,1,17856.4,1,1.0
ID12821,60,0,3,0,1,1,0,0,27558.6,1,1.0
ID12825,18,0,2,1,0,1,1,1,14550.5,1,1.0
ID12830,46,0,0,0,0,1,0,0,17049.3,1,1.0
ID12704,50,1,3,1,0,1,0,1,23397.2,1,1.0
ID12831,56,0,0,0,0,1,1,0,41523.0,1,1.0
ID12836,66,0,0,1,0,1,0,1,23369.35,1,1.0
ID12837,54,1,2,1,0,1,1,0,51468.3,1,1.0
ID12845,41,0,2,0,1,1,1,0,15064.3,1,1.0
ID12849,56,0,1,0,0,1,0,0,37699.6,1,1.0
ID12852,39,0,0,0,0,0,1,0,14413.9,1,1.0
ID12853,56,0,2,0,0,1,1,0,24379.3,1,1.0
ID12856,25,0,0,0,1,0,1,0,4253.52,1,1.0
ID12865,29,1,3,0,0,1,0,1,5671.75,1,1.0
ID12868,29,0,2,0,0,1,1,0,25076.7,1,1.0
ID12873,43,1,3,0,0,0,0,0,28741.6,1,1.0
ID12884,66,0,0,1,1,1,1,1,60635.6,1,1.0
ID12796,28,0,2,1,0,0,1,1,7404.033333333333,1,1.0
ID12791,56,0,3,0,1,1,1,0,25104.85,1,1.0
ID12790,45,0,3,0,1,0,1,0,19248.45,1,1.0
ID12756,58,1,2,0,1,0,1,1,37681.4,1,1.0
ID12712,26,0,0,0,1,0,1,1,22378.5,1,1.0
ID12717,32,0,0,1,1,1,1,1,24627.6,1,1.0
ID12718,56,0,1,1,1,1,0,0,15771.766666666668,1,1.0
ID12721,40,1,3,0,1,1,1,0,37227.8,1,1.0
ID12731,32,1,1,0,1,1,0,0,23805.5,1,1.0
ID12733,18,1,2,1,0,0,0,1,10523.3,1,1.0
ID12736,63,1,0,1,0,1,1,0,54182.5,1,1.0
ID12741,44,1,2,0,0,0,0,0,26553.5,1,1.0
ID12746,61,1,0,0,0,0,1,0,26527.9,1,1.0
ID12786,18,0,3,0,1,0,1,0,15800.6,1,1.0
ID12753,40,0,0,0,0,1,1,0,32089.9,1,1.0
ID12747,65,0,0,0,0,1,1,0,58002.2,1,1.0
ID12759,54,0,0,0,0,0,1,0,13887.85,1,1.0
ID12770,28,1,0,0,0,1,1,0,17846.2,1,1.0
ID12781,44,1,3,0,0,1,1,0,23790.4,1,1.0
ID12779,57,1,0,0,1,1,1,0,13192.1,1,1.0
ID12778,64,1,3,0,1,0,1,0,29107.5,1,1.0
ID12760,31,1,0,0,1,0,1,1,23633.3,1,1.0
ID12771,23,1,0,0,1,0,0,0,18233.1,1,1.0
ID12766,44,0,0,0,0,1,1,0,15916.85,1,1.0
ID12765,30,1,0,1,1,1,1,1,10332.25,1,1.0
ID12763,51,0,1,1,0,1,1,0,16940.2,1,1.0
ID12761,64,1,1,1,0,1,1,0,20058.7,1,1.0
ID12898,54,1,1,0,0,0,1,1,29348.8,1,1.0
ID12738,33,1,0,1,0,1,1,1,28589.4,1,0.85
ID12716,44,1,3,1,0,0,0,1,34961.7,1,0.85
ID12708,50,0,0,1,1,1,0,1,27740.8,1,0.85
ID12892,44,0,2,1,1,1,1,1,25353.3,1,0.85
ID12897,19,1,0,0,1,1,0,0,8953.4,1,0.8333333333333334
